id,too_much
1,0.738805970149
2,0.448275862069
3,0.448275862069
4,0.448275862069
5,0.448275862069
6,0.25
7,0.821428571429
8,0.821428571429
9,0.0901639344262
10,0.448275862069
11,0.0901639344262
12,0.0901639344262
13,0.821428571429
14,0.448275862069
15,0.821428571429
16,0.25
17,0.738805970149
18,0.448275862069
19,0.738805970149
20,0.448275862069
21,0.738805970149
22,0.448275862069
23,0.738805970149
24,0.738805970149
25,0.738805970149
26,0.466666666667
27,0.448275862069
28,0.738805970149
29,0.821428571429
30,0.738805970149
31,0.466666666667
32,0.25
33,0.466666666667
34,0.738805970149
35,0.448275862069
36,0.448275862069
37,0.448275862069
38,0.0901639344262
39,0.25
40,0.25
41,0.0901639344262
42,0.738805970149
43,0.0901639344262
44,0.821428571429
45,0.821428571429
46,0.0901639344262
47,0.821428571429
48,0.25
49,0.0901639344262
50,0.25
51,0.738805970149
52,0.466666666667
53,0.821428571429
54,0.0901639344262
55,0.466666666667
56,0.382978723404
57,0.738805970149
58,0.448275862069
59,0.25
60,0.448275862069
61,0.448275862069
62,0.466666666667
63,0.448275862069
64,0.738805970149
65,0.821428571429
66,0.448275862069
67,0.821428571429
68,0.821428571429
69,0.466666666667
70,0.821428571429
71,0.25
72,0.466666666667
73,0.738805970149
74,0.0901639344262
75,0.25
76,0.25
77,0.448275862069
78,0.821428571429
79,0.0901639344262
80,0.25
81,0.0901639344262
82,0.821428571429
83,0.466666666667
84,0.25
85,0.738805970149
86,0.0901639344262
87,0.25
88,0.466666666667
89,0.738805970149
90,0.0901639344262
91,0.25
92,0.448275862069
93,0.25
94,0.448275862069
95,0.0901639344262
96,0.382978723404
97,0.0901639344262
98,0.821428571429
99,0.448275862069
100,0.821428571429
